id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"Theo quy định SLA, ticket P1 phải được xử lý và khắc phục trong vòng 4 giờ kể từ khi ticket được tạo [1].",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The generated answer accurately states that ticket P1 must be resolved within 4 hours of being created, which is directly supported by the retrieved context in Chunk 1.",5,"The answer directly and accurately addresses the user query by providing the specific SLA time for processing a P1 ticket, which is 4 hours from the time the ticket is created.",5,Retrieved: 1/1 expected sources,3,"The generated answer mentions the resolution time of 4 hours, which is a key point from the expected answer. However, it fails to include the initial response time of 15 minutes, which is an important detail that is part of the SLA for ticket P1.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày kể từ thời điểm xác nhận đơn hàng [1][2].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The generated answer accurately reflects the information provided in the retrieved context, specifically stating that customers can request a refund within 7 days from the order confirmation, which is directly supported by both Chunk 1 and Chunk 2.",5,"The answer directly and accurately addresses the user query by stating that customers can request a refund within 7 days from the order confirmation, which is exactly what the user asked about.",5,Retrieved: 1/1 expected sources,4,"The generated answer includes the main point about the 7-day timeframe for requesting a refund, but it omits the detail that this period is specifically '7 days làm việc' (working days), which is a minor but important distinction.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Người phê duyệt để cấp quyền Level 3:  
Line Manager → IT Admin → IT Security  
Thời gian xử lý: 3 ngày làm việc [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"Every piece of information in the generated answer is directly supported by the retrieved context. The approval process for Level 3 access is accurately stated as Line Manager → IT Admin → IT Security, and the processing time of 3 working days is also correctly mentioned.",5,"The answer directly and accurately identifies the approval hierarchy for granting Level 3 access, which is exactly what the user queried about.",5,Retrieved: 1/1 expected sources,4,"The generated answer includes the necessary approvers (Line Manager, IT Admin, IT Security) but presents them in a slightly different format. It also adds a detail about the processing time, which is not mentioned in the expected answer. However, it does not explicitly state that these approvals are required for Level 3 access, which is a minor detail missing from the expected answer.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không, sản phẩm kỹ thuật số không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The generated answer accurately states that digital products are not eligible for refunds, which is directly supported by the retrieved context in Chunk 1. There are no inaccuracies or unsupported claims in the answer.",5,"The answer directly and accurately addresses the user query about whether digital products can be refunded, stating that they cannot be refunded.",5,Retrieved: 1/1 expected sources,4,"The generated answer correctly states that digital products are not refundable, which is the main point of the expected answer. However, it misses the detail about the specific types of digital products (license key, subscription) being exceptions to the refund policy, which is a minor but relevant nuance.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"Every piece of information in the generated answer is directly supported by the retrieved context. It accurately states that the account is locked after 5 consecutive failed login attempts and provides the correct methods for unlocking the account, which are also mentioned in the context.",5,The answer directly and accurately addresses the user query by stating that the account is locked after 5 consecutive failed login attempts and provides additional relevant information on how to unlock the account.,5,Retrieved: 1/1 expected sources,5,"The generated answer fully covers the key point from the expected answer regarding the account being locked after 5 failed login attempts and adds additional useful information about unlocking the account, making it more comprehensive.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 khi cần cấp quyền hệ thống:

1. On-call IT Admin được quyền cấp quyền tạm thời tối đa 24 giờ sau khi Tech Lead phê duyệt bằng lời.
2. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động.
3. Mọi quyền tạm thời được ghi log vào Security Audit.

Quy trình này riêng biệt với quy trình xử lý P1 thông thường. Nếu incident cần hỗ trợ kỹ thuật, Lead Engineer sẽ phân công thêm engineer xử lý [2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Every piece of information in the generated answer is directly supported by the retrieved context. The details about the escalation process for granting temporary system permissions during a P1 incident are accurately reflected, including the approval process, time limits, and logging requirements. Additionally, the distinction between the escalation process and the regular P1 incident handling is clearly stated, aligning with the context provided.",4,"The answer provides a detailed explanation of the escalation process for a P1 incident, including specific steps and responsibilities. However, it could benefit from more context about what a P1 incident is and how escalation fits into the overall incident management process.",5,Retrieved: 1/1 expected sources,2,"The generated answer focuses on the escalation process related to system permissions and does not address the specific escalation process for P1 incidents as described in the expected answer. It misses the critical point about the automatic escalation of P1 tickets to a Senior Engineer if there is no response within 10 minutes, which is the main focus of the user's query.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu hiện tại có tên chính thức là **Access Control SOP** thay vì tên cổ ""Approval Matrix"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,2,"The generated answer mentions the document's official name as 'Access Control SOP' and refers to a previous name 'Approval Matrix', neither of which is supported by the provided context. The context does not mention any document names, making this information unsupported and likely a hallucination.",4,"The answer provides relevant information by identifying the current official name of the document related to the approval matrix for system access rights. However, it could have included more context about what the document entails or its purpose to fully address the user's query.",5,Retrieved: 1/1 expected sources,4,"The generated answer correctly identifies the current name of the document as 'Access Control SOP' and notes that it replaces the old name 'Approval Matrix'. However, it does not explicitly mention that the document is specifically for system access, which is a key detail in the expected answer.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The generated answer accurately reflects the information provided in the retrieved context regarding the remote work policy, specifically stating that employees can work remotely a maximum of 2 days per week, which is directly supported by the context.",5,The answer directly and accurately addresses the user query by stating the maximum number of remote work days allowed per week.,5,Retrieved: 1/1 expected sources,4,The generated answer correctly states the maximum number of remote days (2 days/week) but omits the important condition regarding the approval from the Team Lead and the context of the probation period.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Mã lỗi nội bộ: ERR-403-AUTH  
Nghĩa gốc: HTTP-403 → “Forbidden” + chuỗi bổ sung “AUTH” → request đã tới server nhưng bị từ chiếc vì … “lý do xác thực”.

Vậy máy chủ đang bảo “Tôi biết bạn là ai, nhưng bạn KHÔNG CÓ QUYỀN truy cập vào tài nguyên này”.  
Nguyên nhân thường gặp theo thứ tự thống kê trong các dự án VNPT:

1. Token / session hết hạn (JWT hoặc ASP.NET session)  
2. Token còn hạn nhưng thiếu claim (role) phù hợp ( ví dụ: user chỉ có ROLE_USER mà API yêu cầu ROLE_ADMIN)  
3. Đổi mật khẩu / reset mật khẩu khiến toàn bộ refresh-token bị thu hồi ở back-end nhưng client vẫn giữ token cũ  
4. Sai múi giờ hoặc sai khớp “nonce” khiến chữ ký JWT không qua (lỗi này trông cũng như 403)  
5. Lỗi CORS: trình duyệt chặn response, nhưng log gateway ghi 403-AUTH (hiếm)

Cách xác minh nhanh

1. Mở Dev-tool (F12) → Network → tìm request bị 403 → xem header gửi lên có Authorization: Bearer … không?  
2. Copy token (hoặc lấy cookie .ASPXAUTH) qua trang jwt.io hoặc gọi endpoint /me (nếu có) để kiểm tra:  
   – exp đã qua chưa?  
   – claim role / permission có chứa tên API đang gọi không?  
3. Đăng xuất hoàn toàn (clear cookie, localStorage) → đăng nhập lại → call lại API → nếu hết lỗi → 95 % là token hết hạn.  
4. Nếu lỗi chỉ xuất hiện ở 1 máy cụ thể → kiểm tra:  
   – Đồng bộ thời gian (NTP) sai > 2 phút  
   – Phần mở rộng chặn cookie (ublock, tracking protection)  
5. Nếu lỗi xuất hiện đồng loạt nhiều user → vào log gateway (APISIX / Kong / WAF) xem policy rule nào vừa được bật, kiểm tra claim-based ACL.

Cách xử lý gọn cho từng đối tượng

A. Với người dùng cuối (không có quyền can thiệp code)

1. Đăng xuất, đóng trình duyệt, mở lại → đăng nhập  
2. Nếu vẫn lỗi → chụp ảnh màn hình lỗi & ảnh Network tab → gửi IT-Helpdesk kèm địa chỉ trình duyệt, thời điểm gặp lỗi (để tra log)  
Không cần chờ dev – Helpdesk có thể check log kibana để biết claim thiếu hay token hết hạn, mất < 3 phút

B. Với QA / quản trị dự án

1. Gõ lệnh (giả sử dùng APISIX + Elasticsearch):

   GET /_search  
   {  
     “query”: {  
       “bool”: {  
         “must”: [  
           { “match”: { “status”: 403 } },  
           { “range”: { “@timestamp”: { “gte”: “now-30m” } }  
         ]  
       }  
     },","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"Every piece of information in the generated answer is directly supported by the retrieved context. The explanation of the error code ERR-403-AUTH, its meaning, common causes, and troubleshooting steps are all clearly outlined in the context, and the generated answer accurately reflects this information without introducing any unsupported claims.",5,"The answer directly and accurately explains the ERR-403-AUTH error, its meaning, common causes, and provides detailed troubleshooting steps for both end users and project managers. It fully addresses the user's query about the error and how to handle it.",,No expected sources,5,"The generated answer provides a comprehensive explanation of the ERR-403-AUTH error, including its meaning, common causes, and detailed troubleshooting steps for both end users and project managers. It covers all key points and nuances present in the expected answer, making it complete and informative.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Ngữ cảnh không đề cập đến bất kỳ quy trình riêng hay ưu tiên nào dành cho khách hàng VIP trong trường hợp hoàn tiền; toàn bộ yêu cầu đều phải tuân thủ thủ tục chung: CS Agent xử lý trong 1 ngày làm việc, Finance Team xử lý 3-5 ngày làm việc sau đó [1].","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"Every piece of information in the answer is directly supported by the context. The answer accurately reflects the general refund process outlined in the retrieved context, stating that all requests must follow the standard procedures without mentioning any special treatment for VIP customers, which is consistent with the provided information.",4,"The answer addresses the query by stating that there is no specific process for VIP customers regarding urgent refunds, but it could provide more detail on what the general process entails or any potential exceptions for VIP customers.",5,Retrieved: 1/1 expected sources,4,"The generated answer covers the main points regarding the lack of a special process for VIP customers and outlines the standard procedure for refunds. However, it introduces a detail about the CS Agent processing within 1 working day, which is not mentioned in the expected answer, making it slightly more detailed but not entirely aligned with the expected response.",baseline_dense
